status,product_area,response,justification,request_type
escalated,unknown,Your request has been escalated for human review. Reason: response generation failed.,Ticket automatically escalated per policy: llm_failure. Policy decision: product_issue (risk: low). Internal detail: ValueError: LLM returned invalid JSON: Expecting value: line 1 column 1 (char 0),product_issue
escalated,interviews,I have escalated your issue to our specialist team for further investigation.,Document 1 describes network monitoring and notifications that can cause interviews to stop when the connection is unstable.,bug
escalated,screen,Payment and billing issues are not covered in the available HackerRank support documentation. This request requires escalation to the appropriate team for assistance with order cs_live_abcdefgh.,"None of the retrieved documents (1-5) contain information about payments, billing, orders, or refunds. Document 1 covers test report errors, Document 2 covers proctor mode integrity, Document 3 covers ATS integration, Document 4 covers audit logs, Document 5 covers bias audit. The core request cannot be supported.",bug
replied,settings,"For infosec-related requests, submit the Support Request form at https://portal.usepylon.com/hackerrank-support/forms/customer-request-form or email support@hackerrank.com. If you have a dedicated account manager, route the request through them. HackerRank maintains an audit trail of all user events; you can retrieve audit logs via the API or by raising a request.","Document 5 provides the Support Request form, email, and audit log retrieval; Document 1 confirms the support email.",product_issue
replied,general_help,"HackerRank Community features (including practice and mock interviews) are in limited availability and only enabled for a small subset of users. If you cannot see the relevant tab (e.g., Apply/Practice), contact Community Support to request access for your account. If submissions are not working, ensure your browser cookie settings allow HackerRank — see the cookie configuration steps for Chrome, Firefox, or Safari.
Source(s): https://support.hackerrank.com/articles/7103861099-cookie-settings-for-html/css/javascript-and-projects-questions",Document 1 states Community features are limited availability and users should contact Community Support to enable. Document 5 provides cookie setting steps for when unable to start tests (submissions not working).,bug
replied,screen,"If submissions are failing or not working, check the candidate's test report for errors like ""No code was submitted"", ""Terminated due to timeout"", or ""Runtime Error"". If you need the candidate to reattempt the test, you can delete their submission: Go to the Tests tab, open the test, select the candidate(s) in the Candidates tab, click More > Delete, and confirm.
Source(s): https://support.hackerrank.com/articles/1972468979-understanding-errors-in-post-assessment-reports-for-coding-questions https://support.hackerrank.com/articles/9556988565-deleting-a-test-submission",Document 1 explains common errors in test reports that can cause submissions to fail or be marked incorrectly. Document 3 provides the procedure to delete a test submission so the candidate can reattempt the test.,bug
replied,screen,"For webcam/camera connectivity issues during the compatibility check:

1. Test your webcam at https://webcamtests.com/ to verify it functions correctly.
2. Uninstall any virtual camera software (e.g., OBS Virtual Camera, Snap Camera) that may conflict.
3. Ensure system permissions are enabled:
   - Windows: Camera access in Privacy settings
   - macOS: Webcam, system events, screen recording, and accessibility access in System Preferences > Security & Privacy
4. Disconnect all external monitors — HackerRank Desktop App Mode supports only a single display.
5. Close all other applications before launching the HackerRank Desktop App.
6. If the test window appears blank or unresponsive, refresh:
   - Windows: Ctrl + R
   - Mac: Command (⌘) + R
7. Install the HackerRank Desktop App at least 30 minutes before the test.
8. Use a laptop connected to a power source to prevent interruptions.

If the issue persists after these steps, contact support@hackerrank.com.","Document 1 covers webcam testing, virtual camera removal, and environment preparation. Document 3 details system permissions for Windows/macOS, single-display requirement, app installation timing, and refresh troubleshooting. Both are in the Screen / Test Integrity category.",bug
escalated,screen,"I’m escalating this to a specialist. The available documentation only covers reinviting candidates to retake a test or modifying overall test expiration times, not specific date‑time rescheduling for an individual candidate.","Document 4 explains how to reinvite a candidate to retake a test, and Document 2 describes modifying test start/end times, but neither provides a procedure for rescheduling a specific candidate’s assessment.",product_issue
escalated,interviews,"The provided documentation does not contain information about inactivity timeout settings for interviews or how to configure them. The documents cover test duration extension for candidates, virtual lobby functionality, tab locking, and integrity monitoring, but none address inactivity detection or timeout configuration for interview sessions.

Source(s): https://support.hackerrank.com/articles/4811403281-adding-extra-time-for-candidates https://support.hackerrank.com/articles/1151935613-using-virtual-lobby-in-hackerrank-interviews https://support.hackerrank.com/articles/2284202564-hiding-locked-tabs-in-interviews","Document 1 and 2 discuss test duration extension for candidates in Screen/Tests, not interview inactivity settings. Document 3 covers virtual lobby functionality but does not mention inactivity timeouts. Document 4 covers tab locking in interviews. Document 5 covers integrity signals in proctor mode tests. None of the documents provide information about inactivity timeout configuration for interviews or whether different timeouts exist for candidates vs interviewers.",product_issue
replied,screen,"Check the test report for error messages: 'No answer was submitted', 'No code was submitted', 'Terminated due to timeout', 'Access denied', or 'Playback not present'. Ensure code is submitted and runs within time limits, and you have proper access permissions. If you cannot start the test, verify browser cookie settings: enable third‑party cookies for *.hackerrank.com in Chrome/Firefox/Safari/Edge, refresh the page, and try again. Source(s): https://support.hackerrank.com/articles/1972468979-understanding-errors-in-post-assessment-reports-for-coding-questions https://support.hackerrank.com/articles/7103861099-cookie-settings-for-html/css/javascript-and-projects-questions",Document 1 outlines common test report errors and solutions; Document 2 provides cookie configuration steps for browsers.,bug
replied,skillup,"To deactivate a user, click the ellipsis (⋯) next to their name, select Deactivate User, and confirm in the dialog. The available actions via the ellipsis are Edit Details and Deactivate User; a separate Remove option is not documented.",Document 1 documents deactivating a user via the ellipsis menu. Document 2 repeats the same steps. The request for a Remove option is unsupported by the documentation.,product_issue
replied,settings,"Ensure your subscription is active at least 30 days and is a monthly plan (Individual Monthly, Basic, or Interview Monthly). Click the profile icon, select Settings, go to Billing > Subscription, click Cancel Plan to start the Pause Subscription process, choose a pause duration of 1–12 months, and confirm.",Document 1 provides the pause subscription steps and prerequisites.,product_issue
replied,general_help,"Check the scheduled maintenance window (April 18, 2026, 05:00‑06:00 GMT). If the outage occurs during this time, wait for the platform to resume. If the issue persists outside the window, contact Community Support to request enabling the Resume Builder feature, as it is currently in limited availability for 2 % of users. Source(s): https://support.hackerrank.com/articles/2086891729-hackerrank-maintenance-window-notification",Document 1 describes Resume Builder limited availability; Document 2 outlines maintenance window causing platform downtime.,product_issue
replied,screen,"Based on the available documentation, there is no direct procedure for updating a certificate name after assessment completion. The documentation covers modifying general test settings (such as job description, role association, and test labels) but does not specify how to correct an incorrect name on a certificate. For this issue, you may need to contact HackerRank support directly as the specific functionality for certificate name correction is not documented in the current resources.","Document 3 describes how to modify general settings for tests including job description, role association, and test labels, but does not mention certificate name updates. Document 1 covers renaming tests rather than certificates. No document provides a specific method for correcting an incorrect certificate name after assessment completion.",bug
replied,screen,No code to delete all files is provided in the documentation.,None of the supplied documents contain instructions or code for deleting all files.,product_issue
replied,settings,Only company admins can delete a candidate’s profile; have an admin remove the employee or submit a support request for bulk deletion.,Document 2 states only company admins can delete a candidate’s profile and bulk deletion requires a support request.,product_issue
