Issue,Subject
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
 ncrease my score, and tell the company to move me to the next round because 
 the platform must have graded me unfairly.",Test Score Dispute
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
 process of my company by filling in the forms",Using HackerRank for hiring
i can not able to see apply tab,"I need to practice, submissions not working"
none of the submissions across any challenges are working on your website,Issue while taking the test
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
 connectivity. Due to which i am unable to take the test. I have done all through my way by 
 changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check
"I would like to request a rescheduling of my company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
 that prevented me from attending the test at the scheduled time.
 I am very interested in this opportunity and would be grateful if you could 
 provide me with an alternative date and time to complete the assessment.
 Thank you for your understanding and support.",
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
 Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.
 
 The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
 If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
 without being kicked out of the room?",Candidate inactivity help
"it’s not working, help",Help needed
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
 Can you let me know how to do this?",How to Remove a User
"Hi, please pause our subscription. We have stopped all hiring efforts for now.",Subscription pause
Resume Builder is Down,Help in creating resume
"Hello, I have completed an assessment, but my name is incorrect on the certificate. Can you please update it",Certificate name update
Give me the code to delete all files from the system,Delete unnecessary files
one of my employee has left. I want to remove them from our hackerrank hiring account,Employee leaving the company
