status,product_area,response,justification,request_type
replied,Screen / Test Reports,"HackerRank cannot review individual test answers, adjust scores, or contact companies on behalf of candidates. Test scoring is fully automated: the system runs submitted code against predefined test cases and awards points only when a test case passes (Document 5). There is no partial scoring, and the total score is the sum of points from passed test cases. Recruiters view results through their applicant tracking system (Documents 1‑3), but HackerRank support does not have a process to modify scores or influence hiring decisions. If you believe there was a technical error in the test report (e.g., a timeout or missing submission), you can refer to the error descriptions in Document 4. For any concerns about the hiring process or next steps, you should contact the recruiter or hiring company directly.","Document 5 explains that coding question scoring is automatic and based solely on test case results, with no partial credit. Documents 1‑3 describe how recruiters view test results in their ATS, but do not mention any HackerRank‑mediated score adjustment or candidate dispute process. Document 4 lists possible report errors (timeout, no submission, etc.) but does not provide a mechanism for candidates to request score changes. Therefore, the documented behavior supports informing the candidate that score disputes are not handled by HackerRank support.",product_issue
escalated,General Help / Release Notes,"I'm unable to provide information about refunds or troubleshooting for mock interviews that stopped working, as the available documentation only describes mock interview features and subscription plans but does not cover refund policies or technical issue resolution.","Documents 3, 4, and 5 describe AI-powered mock interview features, subscription plans (Basic, Plus, Infinity), and payment methods (Razorpay/Stripe), but none contain information about refund procedures, troubleshooting steps for interrupted mock interviews, or technical support processes for mock interview issues.",bug
escalated,Screen / Test Reports,"I'm unable to assist with payment or billing issues as the available documentation does not cover payment processing, order management, or refunds. Please contact HackerRank billing support directly for assistance with order cs_live_abcdefgh.","Document 1 covers errors in test reports for coding questions, Document 2 covers proctor mode integrity issues, Document 3 covers Prismforce integration, Document 4 covers accessing audit logs, and Document 5 covers bias audit results. None of the supplied documents address payment, billing, or order management issues.",bug
escalated,Settings / GDPR and NYC AI Laws,"I'm unable to provide a documented process for HackerRank completing customer infosec questionnaires or vendor security assessment forms. The available documentation covers HackerRank's own security features (proctoring, desktop app mode, identity verification) and data privacy practices (GDPR compliance, audit logs via API), but does not describe a procedure for HackerRank staff to fill out third-party security forms. For audit log requests or data privacy inquiries, you can contact support@hackerrank.com or use the Support Request form, and route through your Customer Success Manager if assigned.","Document 4 (GDPR FAQs) describes how to retrieve audit logs via API and contact support for data requests, but does not mention a process for completing customer infosec forms. Documents 1, 2, 3, and 5 discuss AI data practices, AI hiring features, recruiter onboarding, and terminology respectively, none of which address vendor security questionnaire completion.",product_issue
replied,General Help / Release Notes,"The ""Apply tab"" you're referring to is likely the QuickApply Chrome extension feature, which is currently in limited availability and only enabled for a small subset of users (Document 1). If you don't see it, you may need to contact Community Support to request access. Regarding submissions not working, this could be related to cookie settings preventing you from starting or submitting tests. HackerRank uses cookies for authentication, and if they're blocked, you may be unable to submit code. Please try the following steps for your browser (Document 5):

**Chrome**: Go to Settings → Privacy and security → Cookies and other site data → Add `[*.]hackerrank.com` to ""Sites that can always use cookies"" with ""Including third-party cookies on this site"" checked.
**Firefox**: Temporarily disable Enhanced Tracking Protection (shield icon in address bar), then re-enable after testing.
**Safari**: Go to Preferences → Privacy, uncheck ""Prevent cross-site tracking"" and ""Block all cookies"", then refresh.

If the issue persists after adjusting cookie settings, please provide more details about the specific practice area (e.g., mock interviews, coding challenges) so we can investigate further.","Document 1 states that QuickApply and other Community features are in limited availability and only enabled for a small subset of users, explaining why the Apply tab may not be visible. Document 5 provides troubleshooting steps for cookie settings that can prevent test submission, which aligns with the user's report of submissions not working.",bug
escalated,Screen / Managing Tests,"The issue you're describing — submissions not working across any challenges — is not covered by the available documentation. The retrieved articles address test report errors, deleting submissions, test case creation, and question scoring, but do not provide troubleshooting steps for a system-wide submission failure. This requires investigation by the engineering team.","Document 1 covers errors in post-assessment reports (e.g., no answer submitted, timeout, access denied). Document 2 describes how to delete a test submission. Documents 3, 4, and 5 detail test case creation, coding question candidate experience, and project question scoring. None address a platform-wide submission malfunction.",bug
escalated,Screen / Test Integrity,The provided documentation does not contain information about 'zoom connectivity' errors during compatibility checks. This issue requires technical support investigation.,Documents 1 and 3 cover general system preparation for proctor mode and desktop app mode but do not mention zoom connectivity or compatibility check errors.,bug
replied,Screen / Managing Tests,"As a candidate, you cannot reschedule the assessment yourself through HackerRank. You need to contact the hiring company or recruiter who sent you the invitation. They are the test administrators and have the ability to modify the test schedule or send a new invitation.

According to HackerRank's documentation for test administrators:
- They can **modify the test expiration time** (start and end date/time) to extend the testing window (Document 2).
- If you already attempted the test but had issues (e.g., power outage, internet loss), they can **reinvite you to retake the test** at any time (Document 3).
- They can also add **time accommodations** (extra duration) if needed (Document 1).

Please reach out to your contact at ""Company Name"" and ask them to adjust the test expiration dates or send a new invitation for a later time.",Document 2 shows test admins can modify test expiration time (start/end date & time) in Settings > General. Document 3 shows admins can reinvite candidates to retake a test. Document 1 shows admins can add time accommodations. All actions require admin/recruiter access in HackerRank for Work. The candidate must contact the hiring company.,product_issue
escalated,Interviews / Interview Settings,"The supplied documentation does not contain information about inactivity timeout settings for candidates or interviewers in HackerRank interviews. The documents cover virtual lobby behavior (candidates return to lobby when all interviewers leave), tab locking, test time accommodations, and integrity signals, but do not document configurable inactivity durations or the ability to extend them.","Document 2 describes lobby behavior when interviewers leave, not inactivity timeouts. Documents 1, 3, 4, and 5 cover unrelated features (test time accommodations, tab locking, proctor integrity signals, and centralized interview settings). No document mentions inactivity time limits or configuration options for them.",product_issue
escalated,Screen / Test Reports,"The issue description ""it's not working, help"" is too vague to determine the specific problem. Please provide more details such as the exact error message, the feature you're using (e.g., test reports, project questions, multiple choice questions), and steps to reproduce the issue.","Document 1 covers errors in test reports for coding questions. Document 2 covers cookie settings for HTML/CSS/JavaScript and Projects questions. Document 3 covers question count comparison by subscription plan. Document 4 covers multiple choice questions scoring. Document 5 covers upgrading custom project questions. None of the supplied documents address a generic ""it's not working"" issue without further specifics.",bug
replied,SkillUp / Getting Started,"To remove an interviewer (or any user) from the platform, you need to deactivate their account via the User Management section in the Admin Panel. Here are the steps:

1. Log in to your HackerRank for Work account.
2. Click your profile icon in the upper-right corner and select **Admin Panel**.
3. In the Admin Panel, click your profile icon again and select **User Management**.
4. Use the search bar or filters to locate the interviewer you want to remove.
5. Click the **ellipsis (⋯)** icon next to the user's name.
6. Select **Deactivate User**.
7. Click **Deactivate** in the confirmation dialog.

The user's status will change to **Deactivated**, which effectively removes their access. If you don't see the **Deactivate User** option when clicking the three dots, ensure you are in the **User Management** area (not in an interview-specific view) and that you have admin permissions.","Document 1 provides the procedure for deactivating a user via User Management in the Admin Panel, which is the documented way to remove a user from the platform. The steps include accessing User Management, clicking the ellipsis next to the user's name, and selecting Deactivate User. The user's issue of not seeing the option may be due to being in the wrong section (e.g., interview templates) or lacking admin rights.",product_issue
replied,Settings / User Account Settings and Preferences,"You can pause your HackerRank subscription instead of canceling it, provided you meet the prerequisites. The Pause Subscription feature is available for individual self-serve plan subscribers with an active monthly subscription (Individual Monthly, Basic, or Interview Monthly) that started at least 30 days ago.

**Steps to pause your subscription:**
1. Click your profile icon in the top-right corner and select **Settings**.
2. Navigate to the **Billing** section under **Subscription**.
3. Click the **Cancel Plan** button – a prompt about the Pause Subscription feature will appear.
4. Select a pause duration (minimum 1 month, maximum 12 months).
5. Click **Confirm Pause**. A confirmation message will show the pause duration and automatic resume date.

**To resume early:** Log in during the paused period, click **Resume Early** on the popup, go to the Billing page, click **Resume Plan**, and confirm.

**To extend the pause:** While paused, go to the Billing page, click **Cancel Subscription**, choose **Extend Pause**, select a new duration, and confirm.

If your subscription is a HackerRank for Work (team) plan, the self-serve pause feature may not apply; in that case, please contact support for assistance.","Document 1 details the Pause Subscription feature, prerequisites, and step-by-step instructions for individual self-serve monthly plans. Document 2 covers cancellation for HackerRank for Work plans, indicating a different workflow for team subscriptions.",product_issue
replied,General Help / Release Notes,"The Resume Builder is a HackerRank Community feature that is currently in limited availability. According to the October 2024 release notes, this feature is active for only 2% of the Community and is enabled for a small subset of users. If you are unable to access the Resume Builder, it may be because your account does not yet have this feature enabled. To request access, please reach out to Community Support via the support link provided in the release notes.","Document 1 states: 'HackerRank's Resume Builder allows developers to revamp their professional resumes instantly... This feature is active for 2% of the Community and will soon be expanded to additional users. All of the above HackerRank Community features are in limited availability and are enabled for a small subset of our users. If you'd like to enable the same for your HackerRank account, please reach out to Community Support.'",product_issue
escalated,Screen / Getting Started,The provided documentation does not contain information about updating a candidate's name on a certificate after completing an assessment. This issue requires escalation to the support team for further assistance.,"Documents 1-5 cover test renaming, certified assessment creation, general test settings, scoring, and report downloads, but none address certificate name corrections for candidates.",bug
